Timestamp (UTC)	Timestamp (ms)	HR	RR	Body temperature	Battery
2016-11-09 19:34:53.235	1478720093235	126.0	488.0	35.641026	83.0
2016-11-09 19:34:54.246	1478720094246	126.0	244.0	35.641026	83.0
2016-11-09 19:34:55.241	1478720095241	168.0	274.0	35.641026	83.0
2016-11-09 19:34:56.227	1478720096227	168.0	482.0	35.641026	83.0
2016-11-09 19:34:57.237	1478720097237	161.0	478.0	35.641026	83.0
2016-11-09 19:34:58.238	1478720098238	161.0	518.0	35.641026	83.0
2016-11-09 19:34:59.218	1478720099218	143.0	484.0	35.641026	83.0
2016-11-09 19:35:00.242	1478720100242	143.0	270.0	35.641026	83.0
2016-11-09 19:35:01.238	1478720101238	165.0	482.0	35.641026	83.0
2016-11-09 19:35:02.235	1478720102235	165.0	482.0	35.641026	83.0
2016-11-09 19:35:03.257	1478720103257	155.0	372.0	35.641026	83.0
2016-11-09 19:35:04.245	1478720104245	155.0	472.0	35.641026	83.0
2016-11-09 19:35:05.267	1478720105267	139.0	472.0	35.641026	83.0
2016-11-09 19:35:06.245	1478720106245	139.0	472.0	35.641026	83.0
2016-11-09 19:35:07.267	1478720107267	114.0	466.0	35.641026	83.0
2016-11-09 19:35:08.253	1478720108253	114.0	474.0	35.641026	83.0
2016-11-09 19:35:09.253	1478720109253	128.0	470.0	35.641026	83.0
2016-11-09 19:35:10.266	1478720110266	128.0	480.0	35.641026	83.0
2016-11-09 19:35:11.285	1478720111285	127.0	424.0	35.641026	83.0
2016-11-09 19:35:12.259	1478720112259	127.0	542.0	35.641026	83.0
2016-11-09 19:35:13.288	1478720113288	109.0	1382.0	35.641026	83.0
2016-11-09 19:35:14.285	1478720114285	109.0	460.0	35.641026	83.0
2016-11-09 19:35:15.259	1478720115259	112.0	468.0	35.641026	83.0
2016-11-09 19:35:16.27	1478720116270	112.0	286.0	35.641026	83.0
2016-11-09 19:35:17.296	1478720117296	138.0	456.0	35.641026	83.0
2016-11-09 19:35:18.293	1478720118293	138.0	564.0	35.641026	83.0
2016-11-09 19:35:19.275	1478720119275	133.0	414.0	35.641026	83.0
2016-11-09 19:35:20.311	1478720120311	133.0	456.0	35.641026	83.0
2016-11-09 19:35:21.29	1478720121290	134.0	454.0	35.641026	83.0
2016-11-09 19:35:22.293	1478720122293	134.0	454.0	35.641026	83.0
2016-11-09 19:35:23.283	1478720123283	132.0	488.0	35.641026	83.0
2016-11-09 19:35:24.286	1478720124286	132.0	448.0	35.641026	83.0
2016-11-09 19:35:25.278	1478720125278	133.0	450.0	35.641026	83.0
2016-11-09 19:35:26.284	1478720126284	133.0	450.0	35.641026	83.0
2016-11-09 19:35:27.285	1478720127285	133.0	456.0	35.641026	83.0
2016-11-09 19:35:28.297	1478720128297	133.0	446.0	35.641026	83.0
2016-11-09 19:35:29.288	1478720129288	133.0	452.0	35.641026	83.0
2016-11-09 19:35:30.293	1478720130293	133.0	446.0	35.641026	83.0
2016-11-09 19:35:31.293	1478720131293	131.0	360.0	35.641026	83.0
2016-11-09 19:35:32.3	1478720132300	131.0	442.0	35.641026	83.0
2016-11-09 19:35:33.32	1478720133320	138.0	366.0	35.0	83.0
2016-11-09 19:35:34.305	1478720134305	138.0	430.0	35.0	83.0
2016-11-09 19:35:35.297	1478720135297	131.0	292.0	35.0	83.0
2016-11-09 19:35:36.317	1478720136317	131.0	444.0	35.0	83.0
2016-11-09 19:35:37.326	1478720137326	149.0	396.0	35.0	83.0
2016-11-09 19:35:38.313	1478720138313	149.0	444.0	35.0	83.0
2016-11-09 19:35:39.305	1478720139305	137.0	438.0	35.0	83.0
2016-11-09 19:35:40.33	1478720140330	137.0	462.0	35.0	83.0
2016-11-09 19:35:41.331	1478720141331	138.0	398.0	35.0	83.0
2016-11-09 19:35:42.335	1478720142335	138.0	442.0	35.0	83.0
2016-11-09 19:35:43.323	1478720143323	138.0	426.0	35.0	83.0
2016-11-09 19:35:44.336	1478720144336	138.0	468.0	35.0	83.0
2016-11-09 19:35:45.332	1478720145332	135.0	408.0	35.0	83.0
2016-11-09 19:35:46.317	1478720146317	135.0	434.0	35.0	83.0
2016-11-09 19:35:47.323	1478720147323	122.0	368.0	35.0	83.0
